# PRE-SEED-FIX, ABANDONED. Divergence events from the same pre-fix run as
# notes/gbt_tuning_prefix_ABANDONED.csv -- see that file's header for why.
# All events here are source=eval, round 1-51, from the un-seeded xgboost RNG
# landing in the pathological corner, not a genuine objective/eta corner case.
# DO NOT USE for the paper's divergence disclosure. Kept only as the incident
# record.
max_depth,eta,min_child_weight,subsample,colsample_bytree,fold,round,source,n_grad_floored,n_hess_floored,raw_value
2,0.01,1,0.7,0.7,5,45,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,46,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,47,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,48,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,49,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,50,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,51,eval,NA,NA,NA
2,0.01,1,1,0.7,1,1,eval,NA,NA,NA
2,0.01,1,1,0.7,1,2,eval,NA,NA,NA
2,0.01,1,1,0.7,1,3,eval,NA,NA,NA
2,0.01,1,1,0.7,1,4,eval,NA,NA,NA
2,0.01,1,1,0.7,1,5,eval,NA,NA,NA
2,0.01,1,1,0.7,1,6,eval,NA,NA,NA
2,0.01,1,1,0.7,1,7,eval,NA,NA,NA
2,0.01,1,1,0.7,1,8,eval,NA,NA,NA
2,0.01,1,1,0.7,1,9,eval,NA,NA,NA
2,0.01,1,1,0.7,1,10,eval,NA,NA,NA
2,0.01,1,1,0.7,1,11,eval,NA,NA,NA
2,0.01,1,1,0.7,1,12,eval,NA,NA,NA
2,0.01,1,1,0.7,1,13,eval,NA,NA,NA
2,0.01,1,1,0.7,1,14,eval,NA,NA,NA
2,0.01,1,1,0.7,1,15,eval,NA,NA,NA
2,0.01,1,1,0.7,1,16,eval,NA,NA,NA
2,0.01,1,1,0.7,1,17,eval,NA,NA,NA
2,0.01,1,1,0.7,1,18,eval,NA,NA,NA
2,0.01,1,1,0.7,1,19,eval,NA,NA,NA
2,0.01,1,1,0.7,1,20,eval,NA,NA,NA
2,0.01,1,1,0.7,1,21,eval,NA,NA,NA
2,0.01,1,1,0.7,1,22,eval,NA,NA,NA
2,0.01,1,1,0.7,1,23,eval,NA,NA,NA
2,0.01,1,1,0.7,1,24,eval,NA,NA,NA
2,0.01,1,1,0.7,1,25,eval,NA,NA,NA
